,token_lower,count_nusc,percentage_of_all_tokens_nusc,count_uoe,percentage_of_all_tokens_uoe
949,marked,1,5.220923372507662e-05,2,0.00036857187612299245
1374,sixth,4,0.00020883693490030648,2,0.00036857187612299245
889,legs,1,5.220923372507662e-05,2,0.00036857187612299245
287,biomolecular,1,5.220923372507662e-05,2,0.00036857187612299245
822,inserted,1,5.220923372507662e-05,2,0.00036857187612299245
202,amateur,4,0.00020883693490030648,2,0.00036857187612299245
1522,twin,1,5.220923372507662e-05,2,0.00036857187612299245
1517,tuberculous,1,5.220923372507662e-05,2,0.00036857187612299245
917,logical,4,0.00020883693490030648,2,0.00036857187612299245
324,cardboard,1,5.220923372507662e-05,2,0.00036857187612299245
1506,tower,1,5.220923372507662e-05,2,0.00036857187612299245
1345,seventh,2,0.00010441846745015324,2,0.00036857187612299245
874,latest,123,0.006421735748184424,2,0.00036857187612299245
746,harsh,1,5.220923372507662e-05,2,0.00036857187612299245
1508,translated,86,0.004489994100356589,2,0.00036857187612299245
1501,tolerable,1,5.220923372507662e-05,2,0.00036857187612299245
900,lifetime,4,0.00020883693490030648,2,0.00036857187612299245
724,graphic,6,0.0003132554023504597,2,0.00036857187612299245
1275,renowned,10,0.0005220923372507662,1,0.00018428593806149623
1405,spatial,11,0.0005743015709758428,1,0.00018428593806149623
414,considerable,9,0.0004698831035256896,1,0.00018428593806149623
911,listed,11,0.0005743015709758428,1,0.00018428593806149623
1410,speculative,9,0.0004698831035256896,1,0.00018428593806149623
810,infamous,1,5.220923372507662e-05,1,0.00018428593806149623
1530,typing,1,5.220923372507662e-05,1,0.00018428593806149623
1292,robin,1,5.220923372507662e-05,1,0.00018428593806149623
1285,restricted,1,5.220923372507662e-05,1,0.00018428593806149623
1315,scandinavian,1,5.220923372507662e-05,1,0.00018428593806149623
1237,quest,1,5.220923372507662e-05,1,0.00018428593806149623
532,eastbourne,1,5.220923372507662e-05,1,0.00018428593806149623
590,evident,1,5.220923372507662e-05,1,0.00018428593806149623
1225,publishable,1,5.220923372507662e-05,1,0.00018428593806149623
832,interim,10,0.0005220923372507662,1,0.00018428593806149623
694,gastric,1,5.220923372507662e-05,1,0.00018428593806149623
500,discrete,1,5.220923372507662e-05,1,0.00018428593806149623
1076,optimal,1,5.220923372507662e-05,1,0.00018428593806149623
484,detachable,9,0.0004698831035256896,1,0.00018428593806149623
950,married,9,0.0004698831035256896,1,0.00018428593806149623
1318,scheme,9,0.0004698831035256896,1,0.00018428593806149623
1305,sad,9,0.0004698831035256896,1,0.00018428593806149623
1095,outstanding,9,0.0004698831035256896,1,0.00018428593806149623
1229,pupils,1,5.220923372507662e-05,1,0.00018428593806149623
666,founding,10,0.0005220923372507662,1,0.00018428593806149623
1311,sarcastic,1,5.220923372507662e-05,1,0.00018428593806149623
600,expert,10,0.0005220923372507662,1,0.00018428593806149623
511,documented,1,5.220923372507662e-05,1,0.00018428593806149623
1209,proofs,14,0.0007309292721510727,1,0.00018428593806149623
630,fifteen,12,0.0006265108047009194,1,0.00018428593806149623
904,lilac,1,5.220923372507662e-05,1,0.00018428593806149623
650,folk,1,5.220923372507662e-05,1,0.00018428593806149623
346,chequered,1,5.220923372507662e-05,1,0.00018428593806149623
1257,reconstructed,1,5.220923372507662e-05,1,0.00018428593806149623
665,foul,1,5.220923372507662e-05,1,0.00018428593806149623
1447,supported,1,5.220923372507662e-05,1,0.00018428593806149623
260,authentic,1,5.220923372507662e-05,1,0.00018428593806149623
602,extant,1,5.220923372507662e-05,1,0.00018428593806149623
1357,siamese,1,5.220923372507662e-05,1,0.00018428593806149623
1150,plinth,1,5.220923372507662e-05,1,0.00018428593806149623
768,humanitarian,1,5.220923372507662e-05,1,0.00018428593806149623
1005,mystic,1,5.220923372507662e-05,1,0.00018428593806149623
619,fantastical,1,5.220923372507662e-05,1,0.00018428593806149623
481,des,1,5.220923372507662e-05,1,0.00018428593806149623
569,endless,1,5.220923372507662e-05,1,0.00018428593806149623
1179,premature,1,5.220923372507662e-05,1,0.00018428593806149623
429,convenient,1,5.220923372507662e-05,1,0.00018428593806149623
1448,supportive,1,5.220923372507662e-05,1,0.00018428593806149623
234,archetypal,1,5.220923372507662e-05,1,0.00018428593806149623
1298,ruined,12,0.0006265108047009194,1,0.00018428593806149623
1585,utilitarian,1,5.220923372507662e-05,1,0.00018428593806149623
1058,obtainable,1,5.220923372507662e-05,1,0.00018428593806149623
716,gradual,1,5.220923372507662e-05,1,0.00018428593806149623
490,dictionary,1,5.220923372507662e-05,1,0.00018428593806149623
709,gilded,1,5.220923372507662e-05,1,0.00018428593806149623
488,diagonal,1,5.220923372507662e-05,1,0.00018428593806149623
498,disappointed,1,5.220923372507662e-05,1,0.00018428593806149623
1581,urinary,1,5.220923372507662e-05,1,0.00018428593806149623
814,informational,1,5.220923372507662e-05,1,0.00018428593806149623
1227,pulmonary,1,5.220923372507662e-05,1,0.00018428593806149623
