description_id,eadid,field,rowid,adj_count,adv_count
77978,TF,unittitle,TF-04801,2.0,0.0
77979,TF,scopecontent,TF-04802,2.0,0.0
77981,TF,scopecontent,TF-04803,2.0,0.0
77983,TF,scopecontent,TF-04804,4.0,1.0
77985,TF,scopecontent,TF-04805,0.0,1.0
77989,TF,scopecontent,TF-04808,1.0,0.0
77991,TF,scopecontent,TF-04809,1.0,1.0
77992,TF,unittitle,TF-04809,1.0,0.0
77994,TF,unittitle,TF-04811,1.0,0.0
77995,TF,scopecontent,TF-04812,1.0,0.0
77996,TF,unittitle,TF-04812,1.0,0.0
77997,TF,scopecontent,TF-04813,3.0,3.0
77998,TF,unittitle,TF-04813,1.0,0.0
77999,TF,scopecontent,TF-04814,4.0,0.0
78000,TF,unittitle,TF-04814,1.0,0.0
78001,TF,scopecontent,TF-04815,4.0,0.0
78002,TF,unittitle,TF-04815,1.0,0.0
78003,TF,scopecontent,TF-04816,4.0,0.0
78005,TF,scopecontent,TF-04817,3.0,0.0
78007,TF,scopecontent,TF-04818,1.0,0.0
78010,TF,unittitle,TF-04819,1.0,0.0
78011,TF,scopecontent,TF-04820,1.0,1.0
78012,TF,unittitle,TF-04820,1.0,0.0
78013,TF,scopecontent,TF-04821,2.0,0.0
78016,TF,scopecontent,TF-04823,1.0,1.0
78018,TF,unittitle,TF-04824,1.0,0.0
78019,TF,unittitle,TF-04825,1.0,0.0
78020,TF,scopecontent,TF-04826,2.0,1.0
78021,TF,unittitle,TF-04826,1.0,0.0
78026,TF,scopecontent,TF-04831,1.0,0.0
78029,TF,scopecontent,TF-04833,2.0,0.0
78030,TF,unittitle,TF-04833,1.0,0.0
78031,TF,scopecontent,TF-04834,1.0,0.0
78032,TF,unittitle,TF-04834,1.0,0.0
78033,TF,scopecontent,TF-04835,1.0,0.0
78034,TF,unittitle,TF-04835,1.0,0.0
78035,TF,scopecontent,TF-04836,1.0,0.0
78036,TF,unittitle,TF-04836,1.0,0.0
78037,TF,scopecontent,TF-04837,1.0,0.0
78040,TF,unittitle,TF-04838,1.0,0.0
78041,TF,scopecontent,TF-04839,1.0,0.0
78049,TF,scopecontent,TF-04845,2.0,0.0
78050,TF,unittitle,TF-04845,1.0,0.0
78051,TF,unittitle,TF-04846,1.0,0.0
78052,TF,scopecontent,TF-04847,2.0,1.0
78055,TF,scopecontent,TF-04849,2.0,1.0
78059,TF,scopecontent,TF-04853,1.0,0.0
78061,TF,scopecontent,TF-04857,1.0,0.0
78065,TF,scopecontent,TF-04861,1.0,0.0
78070,TF,scopecontent,TF-04866,1.0,0.0
78071,TF,unittitle,TF-04866,1.0,0.0
78080,TF,scopecontent,TF-04871,1.0,0.0
78081,TF,unittitle,TF-04871,1.0,0.0
78084,TF,scopecontent,TF-04873,1.0,0.0
78085,TF,unittitle,TF-04873,1.0,0.0
78100,TF,scopecontent,TF-04881,1.0,0.0
78101,TF,unittitle,TF-04881,1.0,0.0
78144,TF,scopecontent,TF-04904,1.0,0.0
78145,TF,unittitle,TF-04904,2.0,0.0
78150,TF,scopecontent,TF-04907,1.0,0.0
78152,TF,scopecontent,TF-04908,1.0,0.0
78156,TF,scopecontent,TF-04910,2.0,0.0
78157,TF,unittitle,TF-04910,1.0,0.0
78158,TF,scopecontent,TF-04911,2.0,0.0
78159,TF,unittitle,TF-04911,2.0,0.0
78178,TF,scopecontent,TF-04921,1.0,0.0
78179,TF,unittitle,TF-04921,1.0,0.0
78180,TF,scopecontent,TF-04922,2.0,0.0
78181,TF,unittitle,TF-04922,2.0,0.0
